Feature,Area (um^2),Roundness,CentroidX (um),CentroidY (um),First Moment of Area (um^3),Eccentricity,Equivalent Diameter (um),Nearest Neighbor Distance (um),Average Neighbor Distance (um),,,avg,st dev
1938,20.228864,1.073835,7532.205622,1271.324358,34.211366,0.104211,5.075056,96.337506,240.048939,,sph diam,15.50072922,13.71105864
2343,21.914603,1.068422,8990.16923,2247.13657,38.458722,0,5.282285,107.661792,220.16575,,sph area,336.3591212,753.0311691
3017,21.914603,1.068422,11214.25991,4423.18793,38.458722,0,5.282285,147.851573,298.032672,,LOF diam,21.91614475,38.87345844
3605,21.914603,1.068422,13646.73737,3895.40459,38.458722,0,5.282285,92.825953,155.324208,,LOF area,1564.091517,6907.594464
1872,21.493168,1.058099,7307.539222,1188.304896,37.405651,0.260868,5.231248,93.983282,292.442586,,,,
2239,27.393254,1.057538,8550.469629,1835.88104,53.826941,0.080553,5.905775,100.094855,173.151765,,,,
776,32.871904,1.050464,3557.83099,5657.071039,70.862807,0.179316,6.469452,51.973954,214.000072,,,,
1855,26.971819,1.049371,7213.140414,1256.771906,52.613048,0.231618,5.86017,13.658443,105.511739,,,,
2878,29.078992,1.047936,10664.72904,1099.06174,58.748486,0,6.084778,196.396547,358.768963,,,,
623,21.071734,1.047674,2943.122448,1851.201688,36.335842,0.321256,5.179707,80.183973,133.183629,,,,
873,21.071734,1.047674,3964.931768,3812.893812,36.335842,0.321256,5.179707,165.136579,259.494028,,,,
1768,21.071734,1.047674,6868.428269,1365.394327,36.393811,0.253125,5.179707,50.966115,186.075024,,,,
2366,21.071734,1.047674,9072.004861,2928.12639,36.367904,0.305412,5.179707,184.963034,272.173705,,,,
2588,21.071734,1.047674,9823.651432,2339.995277,36.352101,0.053496,5.179707,28.283918,147.323767,,,,
2682,21.071734,1.047674,10119.15817,1597.242472,36.335842,0.321256,5.179707,30.278828,115.166486,,,,
2704,21.071734,1.047674,10180.11617,1387.063955,36.336783,0.314089,5.179707,62.629615,118.2031,,,,
2379,23.600342,1.047351,9127.79539,1659.95326,43.094792,0.152894,5.481687,88.226107,160.394412,,,,
2525,30.764731,1.0457,9668.451169,1999.910151,64.197164,0.214292,6.258664,32.189952,213.484143,,,,
772,32.45047,1.043708,3546.251136,1533.750982,69.548288,0.252561,6.427847,49.480193,107.828244,,,,
1970,32.45047,1.043708,7632.308089,1687.581349,69.52425,0.184963,6.427847,90.458381,160.593151,,,,
3125,32.45047,1.043708,11689.39644,1736.337296,69.548288,0.252561,6.427847,47.847218,175.010644,,,,
2076,24.443211,1.042112,7968.35991,3617.141418,45.398494,0.33555,5.578715,66.631199,119.856636,,,,
1555,21.914603,1.041818,6216.360417,4906.689703,38.560064,0.204411,5.282285,67.35319,130.514784,,,,
