Distance from center,Sample,Hardness,Area Fraction - Ferrite,Mean Intercept - Ferrite,Mean Inverse Intercept - Ferrite,Mean Nearest Neighbor - Ferrite,Mean Average Neighbor - Ferrite,Mean Equivalent Diameter - Ferrite,Mean Roundness - Ferrite,Area Fraction - Austenite,Mean Intercept - Austenite,Mean Inverse Intercept - Austenite,Mean Nearest Neighbor - Austenite,Mean Average Neighbor - Austenite,Mean Equivalent Diameter - Austenite,Mean Roundness - Austenite,Perimeter Fraction - Ferrite,Perimeter Fraction - Austenite
0,2101T1,224.5,58.31,0.0196,153.2538,0.0079,0.02884,0.00308,0.67292,41.69,0.01269,139.7774,0.01634,0.03784,0.01446,0.61706,105.84209,110.0924
1,2101T1,227.55,59.872,0.01944,154.4899,0.00893,0.0328,0.00297,0.66591,40.128,0.0122,143.4454,0.01598,0.03686,0.01361,0.61043,108.05757,111.3684
2,2101T1,225.95,60.905,0.01925,153.8796,0.00981,0.03172,0.00298,0.6617,39.095,0.01161,150.1647,0.01413,0.03297,0.01182,0.61591,109.67937,112.3399
3,2101T1,224.4,60.146,0.0197,156.9621,0.00821,0.02914,0.00287,0.66158,39.854,0.01206,144.57,0.01576,0.0365,0.01367,0.61524,104.56396,107.72711
4,2101T1,225.25,61.108,0.0211,147.8884,0.01037,0.03446,0.00362,0.65383,38.892,0.0124,142.9964,0.01605,0.03707,0.01381,0.60052,103.00866,105.46279
5,2101T1,225.9,60.462,0.02136,144.4656,0.00899,0.03242,0.00335,0.66888,39.538,0.01294,137.6376,0.01721,0.03859,0.01457,0.60926,97.59301,99.72018
6,2101T1,226.85,61.668,0.02213,149.5963,0.00846,0.0302,0.00343,0.66595,38.332,0.01243,144.3766,0.01634,0.03717,0.01304,0.62318,98.57366,101.95247
7,2101T1,218,60.948,0.02317,151.293,0.01007,0.03363,0.00443,0.65565,39.052,0.0135,142.0857,0.01677,0.04102,0.01292,0.62418,90.52619,92.62049
8,2101T1,210.6,62.174,0.0282,145.4572,0.00984,0.03307,0.00417,0.65286,37.826,0.01574,140.1642,0.01627,0.04082,0.01154,0.61795,78.02542,79.45474
9,2101T1,206.75,59.706,0.02861,145.0801,0.00995,0.03162,0.00347,0.65415,40.294,0.01774,141.6,0.01471,0.03945,0.01047,0.61741,72.71754,74.51297
10,2101T1,205.684,59.036,0.03148,138.7236,0.0098,0.02905,0.00372,0.64864,40.964,0.02,137.0224,0.01438,0.04172,0.01085,0.61789,66.79651,68.47362
11,2101T1,203.8,55.241,0.03011,139.7309,0.01094,0.03303,0.00396,0.66998,44.759,0.02406,125.9825,0.01344,0.04157,0.01023,0.634,65.38474,67.41116
12,2101T1,201.3,54.66,0.03177,124.1582,0.01138,0.03328,0.00383,0.66812,45.34,0.02685,105.6388,0.01578,0.04794,0.01182,0.63554,59.46019,60.56054
0,2101T2,218.05,60.419,0.02404,160.8898,0.01485,0.04517,0.00585,0.61765,39.581,0.01546,140.8495,0.01498,0.03797,0.01156,0.61307,86.78765,89.0408
1,2101T2,222,62.07,0.02505,159.1685,0.01352,0.04235,0.00531,0.63325,37.93,0.01466,144.4057,0.0149,0.03749,0.01147,0.61854,82.4233,83.66781
2,2101T2,223.25,58.57,0.02455,170.9181,0.01251,0.03728,0.00503,0.62601,41.43,0.01631,143.1647,0.01478,0.03705,0.01051,0.62247,79.54571,82.45415
3,2101T2,226.7,61.242,0.0277,151.8022,0.01411,0.04445,0.00538,0.62512,38.758,0.01567,140.7715,0.017,0.04044,0.01262,0.62135,78.51186,81.55681
4,2101T2,229.85,58.631,0.02638,160.8095,0.01115,0.03355,0.00515,0.62817,41.369,0.01735,134.6026,0.01588,0.04104,0.01086,0.62174,72.24089,73.79129
5,2101T2,226.85,61.502,0.02692,150.9376,0.0107,0.0348,0.00515,0.64772,38.498,0.01666,142.0102,0.01596,0.03945,0.01081,0.62284,74.63544,75.11709
6,2101T2,223,61.062,0.02815,155.7744,0.01275,0.03817,0.00432,0.63652,38.938,0.01717,145.166,0.01495,0.03829,0.01104,0.61286,77.26384,78.68125
7,2101T2,221.1,62.509,0.03107,143.2028,0.01153,0.03889,0.00436,0.64017,37.491,0.01802,148.3932,0.0149,0.03969,0.01048,0.61315,72.1961,72.66786
8,2101T2,224.3,61.014,0.03182,139.2476,0.01224,0.03863,0.00458,0.63644,38.986,0.0193,144.9996,0.01571,0.04338,0.01089,0.61119,70.56164,71.54017
9,2101T2,222.05,57.874,0.03144,149.0552,0.01104,0.0332,0.00451,0.63576,42.126,0.0223,134.4456,0.01639,0.04313,0.01047,0.61858,65.41272,66.91269
10,2101T2,216.25,54.891,0.02927,150.3371,0.01083,0.0325,0.00473,0.6363,45.109,0.02314,129.2328,0.01556,0.04589,0.01021,0.61016,67.78556,70.28938
11,2101T2,215.8,58.449,0.03542,126.9429,0.01253,0.03781,0.00462,0.65924,41.551,0.02437,125.2627,0.01631,0.04628,0.01139,0.60588,61.87719,63.18054
12,2101T2,219.7,56.196,0.03722,129.8316,0.01048,0.03366,0.00436,0.6599,43.804,0.02949,106.69,0.01722,0.05296,0.01241,0.61784,51.47358,53.20667
0,2205T1,240.05,78.98,0.02332,148.38,0.01007,0.03316,0.00275,0.69279,21.02,0.00673,226.88,0.00717,0.01771,0.00513,0.62046,140.04188,132.96804
1,2205T1,244.25,78.998,0.02298,152.7,0.01136,0.03839,0.00307,0.69779,21.002,0.00668,227.44,0.00707,0.01717,0.00502,0.62838,141.38577,134.83625
2,2205T1,241.4,79.751,0.0244,144.87,0.01311,0.04115,0.00318,0.69045,20.249,0.00697,220.54,0.00764,0.01878,0.0055,0.62362,128.91032,123.15026
3,2205T1,241.75,78.08,0.02351,146.93,0.01516,0.04308,0.00364,0.68622,21.92,0.00741,214.58,0.00824,0.02017,0.00572,0.61919,131.69406,125.63513
4,2205T1,244.45,79.551,0.02564,133.08,0.01449,0.0458,0.00389,0.6901,20.449,0.0073,214.54,0.00842,0.02049,0.0057,0.61812,126.30851,119.99902
5,2205T1,247.25,80.04,0.02336,167.6,0.00924,0.03008,0.00288,0.69438,19.96,0.00646,241.11,0.00695,0.01797,0.00494,0.62568,136.8899,130.42571
6,2205T1,248.55,78.228,0.02308,177.68,0.00904,0.02851,0.00296,0.69723,21.772,0.00701,237.25,0.00677,0.01776,0.00482,0.62267,138.896,132.8077
7,2205T1,245.9,77.877,0.02615,166.97,0.00936,0.03166,0.0034,0.70343,22.123,0.00858,225.76,0.00705,0.01947,0.00463,0.62864,118.14263,111.93677
8,2205T1,242.45,75.459,0.02956,154.65,0.00897,0.02966,0.00348,0.70359,24.541,0.01124,204.85,0.00744,0.02183,0.00478,0.62871,100.85276,96.08251
9,2205T1,248.95,73.406,0.02828,149.59,0.00937,0.02966,0.00353,0.70774,26.594,0.01241,188.74,0.00728,0.02187,0.00464,0.62842,97.91358,92.30758
0,2205T2,243.4,68.346,0.02549,126.6443,0.00745,0.02431,0.00297,0.69779,31.654,0.01092,161.9437,0.01301,0.03057,0.00869,0.65383,113.21703,113.96244
1,2205T2,244.2,67.463,0.02486,136.4853,0.00679,0.02115,0.00334,0.69753,32.537,0.01105,166.111,0.01202,0.03026,0.00671,0.66714,113.67964,116.31294
2,2205T2,245.15,67.088,0.02393,129.8744,0.00735,0.024,0.00363,0.69608,32.912,0.01107,164.5542,0.01312,0.0329,0.0081,0.6508,114.81712,115.85799
3,2205T2,241.35,68.121,0.02552,119.8798,0.00763,0.02421,0.00336,0.70356,31.879,0.01121,160.2694,0.01326,0.03158,0.00809,0.6584,108.93672,109.74235
4,2205T2,248.3,68.297,0.02423,127.1412,0.00708,0.02187,0.00332,0.70293,31.703,0.01065,168.6409,0.01169,0.02759,0.00643,0.66456,116.92546,117.63661
5,2205T2,246.8,70.001,0.02453,131.6589,0.00655,0.02059,0.00278,0.70264,29.999,0.00986,176.8403,0.01111,0.02723,0.00659,0.65997,119.73931,121.45707
6,2205T2,245.8,68.835,0.02657,116.8838,0.00838,0.02843,0.00376,0.70393,31.165,0.01192,157.1459,0.01196,0.02935,0.007,0.67511,103.84728,102.15824
7,2205T2,247.6,66.115,0.0254,124.7735,0.00814,0.02527,0.00401,0.69735,33.885,0.01243,162.3956,0.01109,0.02832,0.0064,0.67218,107.18885,107.29663
8,2205T2,251,68.719,0.02529,133.4531,0.00646,0.01972,0.00281,0.70566,31.281,0.01102,180.686,0.01079,0.0268,0.00581,0.66759,112.73474,114.49442
9,2205T2,249.55,71.07,0.02842,119.547,0.00733,0.02356,0.00288,0.70278,28.93,0.01153,184.5539,0.00996,0.02449,0.00512,0.67932,102.8246,100.53219
10,2205T2,229.6,67,0.02759,117.8363,0.00661,0.02025,0.00284,0.70938,33,0.0128,178.9364,0.00971,0.02431,0.00478,0.68626,101.6136,102.12388
11,2205T2,227.3,64.045,0.0312,113.4243,0.0063,0.01958,0.00257,0.71058,35.955,0.0166,167.9322,0.0105,0.0276,0.00504,0.685,84.85848,87.3357
12,2205T2,234.35,62.001,0.0276,108.3189,0.00644,0.0217,0.00256,0.70593,37.999,0.01584,173.586,0.01098,0.02948,0.00584,0.66459,89.06463,91.3514
